Subject ID,True_block,Trial_type,Group,Accuracy,Reaction_time
08BAC,2,congruent,B,1,0.473665069
08BAC,3,incongruent,B,1,0.43280374
08BAC,3,incongruent,B,1,0.337176224
08BAC,3,congruent,B,1,0.387776272
08BAC,3,incongruent,B,1,0.419738434
08BAC,3,incongruent,B,1,0.395492975
08BAC,3,congruent,B,1,0.566967675
08BAC,3,incongruent,B,1,0.32304615
08BAC,3,congruent,B,1,0.299728863
08BAC,3,congruent,B,1,0.428191248
08BAC,3,incongruent,B,1,0.369578394
08BAC,3,congruent,B,1,0.447653978
08BAC,3,congruent,B,1,0.38192324
12S91,1,incongruent,B,0,0.108797355
12S91,1,congruent,B,0,0.288393926
12S91,1,congruent,B,0,0.509365315
12S91,1,incongruent,B,0,0.28778113
12S91,1,congruent,B,1,0.455340664
12S91,1,incongruent,B,0,0.340346295
12S91,1,congruent,B,1,0.375310377
12S91,1,incongruent,B,1,0.297444897
12S91,1,congruent,B,1,0.368795402
12S91,1,incongruent,B,1,0.434111108
12S91,1,congruent,B,1,0.496289644
12S91,1,incongruent,B,1,0.390553646
12S91,2,congruent,B,1,0.402271214
12S91,2,congruent,B,1,0.345169714
12S91,2,congruent,B,1,0.364390696
12S91,2,congruent,B,1,0.411572168
12S91,2,incongruent,B,1,0.283343657
12S91,2,incongruent,B,1,0.273399587
12S91,2,congruent,B,1,0.392092205
12S91,2,congruent,B,1,0.373496639
12S91,2,incongruent,B,1,0.299507164
12S91,2,incongruent,B,1,0.329056102
12S91,2,incongruent,B,0,0.250612247
12S91,2,incongruent,B,1,0.25494672
12S91,3,congruent,B,1,0.38244734
12S91,3,incongruent,B,0,0.243431077
12S91,3,congruent,B,1,0.278587397
12S91,3,incongruent,B,1,0.288517218
12S91,3,congruent,B,1,0.374463788
12S91,3,congruent,B,1,0.002218417
12S91,3,congruent,B,1,0.271337407
12S91,3,congruent,B,1,0.295503718
12S91,3,incongruent,B,1,0.28355614
12S91,3,incongruent,B,1,0.25968103
12S91,3,incongruent,B,1,0.323947842
12S91,3,incongruent,B,1,0.225591043
1366C,1,incongruent,B,0,NaN
1366C,1,incongruent,B,0,NaN
1366C,1,congruent,B,1,0.263972567
1366C,1,congruent,B,1,0.335030792
1366C,1,incongruent,B,1,0.374707041
1366C,1,congruent,B,1,0.392999035
1366C,1,incongruent,B,1,0.268971975
1366C,1,incongruent,B,1,0.3120583
1366C,1,congruent,B,1,0.408600138
1366C,1,congruent,B,1,0.373383083
1366C,1,congruent,B,1,0.344636502
1366C,1,incongruent,B,1,0.311711626
1366C,2,congruent,B,1,0.364758233
1366C,2,congruent,B,1,0.349138167
1366C,2,incongruent,B,1,0.320167303
1366C,2,incongruent,B,1,0.276941651
1366C,2,congruent,B,1,0.383182515
1366C,2,congruent,B,1,0.297399374
1366C,2,incongruent,B,1,0.283345919
1366C,2,incongruent,B,1,0.27039316
1366C,2,congruent,B,1,0.358777324
1366C,2,congruent,B,1,0.385857394
1366C,2,incongruent,B,1,0.417117604
1366C,2,incongruent,B,1,0.348306052
1366C,3,congruent,B,1,0.376793566
1366C,3,congruent,B,1,0.382334022
1366C,3,incongruent,B,1,0.33506788
1366C,3,incongruent,B,1,0.323399406
1366C,3,incongruent,B,1,0.28894787
1366C,3,congruent,B,1,0.385777788
1366C,3,congruent,B,1,0.35677109
1366C,3,incongruent,B,1,0.386762405
1366C,3,incongruent,B,1,0.315899152
1366C,3,congruent,B,1,0.351395313
1366C,3,congruent,B,1,0.402602029
1366C,3,incongruent,B,1,0.374561444
160A9,1,incongruent,B,0,NaN
160A9,1,incongruent,B,0,0.59242912
160A9,1,incongruent,B,0,0.010935133
160A9,1,congruent,B,0,NaN
160A9,1,incongruent,B,0,0.448852334
160A9,1,incongruent,B,0,0.059160281
160A9,1,congruent,B,1,1.139716724
160A9,1,congruent,B,1,0.36874108
160A9,1,incongruent,B,0,0.269224502
160A9,1,congruent,B,1,0.405750433
160A9,1,congruent,B,1,0.544539141
160A9,1,congruent,B,1,0.366699651
160A9,2,congruent,B,1,0.058998585
160A9,2,congruent,B,1,0.370410828
160A9,2,congruent,B,1,0.030807044
160A9,2,incongruent,B,1,0.48076752
160A9,2,incongruent,B,0,0.687594522
160A9,2,congruent,B,1,0.071061372
160A9,2,incongruent,B,1,0.392085794
160A9,2,incongruent,B,1,0.171505668
160A9,2,congruent,B,1,0.467504035
160A9,2,congruent,B,1,0.283813362
160A9,2,incongruent,B,1,0.363709746
160A9,2,incongruent,B,0,0.267240694
160A9,3,congruent,B,1,0.171717196
160A9,3,incongruent,B,0,0.335925994
160A9,3,congruent,B,1,0.650611572
160A9,3,incongruent,B,0,0.039383106
160A9,3,incongruent,B,0,0.178473914
160A9,3,incongruent,B,1,0.582890023
160A9,3,congruent,B,1,0.495248492
160A9,3,congruent,B,1,0.374231149
160A9,3,congruent,B,1,0.178472434
160A9,3,incongruent,B,0,0.374950062
160A9,3,congruent,B,1,0.331532971
160A9,3,incongruent,B,1,0.469909448
17D96,1,incongruent,B,1,1.28277437
17D96,1,congruent,B,1,0.695439378
17D96,1,incongruent,B,1,0.440119343
17D96,1,congruent,B,1,0.433694854
17D96,1,congruent,B,1,0.323245512
17D96,1,incongruent,B,1,0.48133968
17D96,1,incongruent,B,1,0.542403306
17D96,1,congruent,B,1,0.387796935
17D96,1,incongruent,B,1,0.573553405
17D96,1,congruent,B,1,0.323743256
17D96,1,congruent,B,1,0.459961124
17D96,1,incongruent,B,1,0.54759819
17D96,2,incongruent,B,1,0.466242782
17D96,2,incongruent,B,1,0.346562074
17D96,2,congruent,B,1,0.376174448
17D96,2,incongruent,B,1,0.345129129
17D96,2,congruent,B,1,0.385451073
17D96,2,congruent,B,1,0.461460412
17D96,2,congruent,B,1,0.334666785
17D96,2,congruent,B,1,0.408192413
17D96,2,incongruent,B,1,0.435931435
17D96,2,incongruent,B,1,0.496134687
17D96,2,congruent,B,1,0.452685795
17D96,2,incongruent,B,1,0.37999537
17D96,3,congruent,B,1,0.34319431
17D96,3,congruent,B,1,0.500020165
17D96,3,incongruent,B,1,0.325434448
17D96,3,congruent,B,1,0.369919469
17D96,3,incongruent,B,1,0.48341517
17D96,3,incongruent,B,1,0.486848807
17D96,3,congruent,B,1,0.373512762
17D96,3,congruent,B,1,0.402177357
17D96,3,incongruent,B,1,0.541217412
17D96,3,congruent,B,1,0.443745818
17D96,3,incongruent,B,1,0.560077278
17D96,3,incongruent,B,1,0.459935156
18C5F,1,congruent,C,0,NaN
18C5F,1,congruent,C,0,NaN
18C5F,1,incongruent,C,0,NaN
18C5F,1,incongruent,C,0,NaN
18C5F,1,congruent,C,1,1.050261206
18C5F,1,incongruent,C,0,0.245825586
